               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.048024,            0.010316,            0.001821,              0.8848,             0.91346,             0.89454,             0.37072,             0.04579,           0.0065644,          0.00049584,           0.0077003,           0.0077003,           0.0077003
                  68,            0.049061,            0.010306,           0.0013808,             0.88362,             0.80769,             0.88345,             0.41188,            0.047065,           0.0070062,           0.0057463,           0.0076743,           0.0076743,           0.0076743
                  69,            0.049223,            0.010528,           0.0014201,             0.85281,             0.83062,             0.84242,             0.35997,            0.047205,           0.0066125,           0.0014993,           0.0076479,           0.0076479,           0.0076479
                  70,            0.048055,            0.010925,           0.0015375,             0.93537,             0.87455,             0.93302,             0.43434,            0.043698,           0.0066318,           0.0021625,           0.0076212,           0.0076212,           0.0076212
                  71,            0.048239,            0.011148,           0.0014046,              0.8504,             0.86058,             0.86589,             0.42862,            0.048781,           0.0071762,           0.0026326,           0.0075942,           0.0075942,           0.0075942
                  72,            0.046417,             0.01063,            0.001681,             0.80685,             0.87965,             0.90186,              0.4178,            0.044915,           0.0066709,           0.0012305,           0.0075669,           0.0075669,           0.0075669
                  73,            0.048169,            0.010769,           0.0024602,             0.73346,             0.81273,              0.7878,             0.27019,             0.05073,           0.0068418,            0.019194,           0.0075393,           0.0075393,           0.0075393
                  74,            0.048839,            0.011238,           0.0045816,            0.005974,             0.76946,           0.0070442,           0.0033595,            0.085156,              5.7237,            0.071369,           0.0075113,           0.0075113,           0.0075113
                  75,            0.049388,            0.011271,           0.0030357,             0.68144,             0.60577,             0.67843,             0.28194,            0.056205,            0.008955,           0.0016804,           0.0074831,           0.0074831,           0.0074831
                  76,            0.049557,            0.010813,            0.003059,             0.91596,             0.87488,             0.89677,             0.42751,             0.04414,            0.006745,          0.00035031,           0.0074545,           0.0074545,           0.0074545
                  77,             0.04899,            0.011429,           0.0026803,              0.7406,             0.80288,             0.80374,             0.30012,            0.051972,           0.0070272,           0.0030085,           0.0074256,           0.0074256,           0.0074256
                  78,            0.047512,            0.010821,           0.0019528,             0.53877,             0.56959,              0.4049,            0.086738,            0.065887,           0.0083649,           0.0030372,           0.0073965,           0.0073965,           0.0073965
                  79,            0.049516,            0.010969,           0.0026283,             0.80416,             0.90865,              0.8734,             0.41399,            0.048353,           0.0067623,           0.0052273,            0.007367,            0.007367,            0.007367
                  80,            0.048099,            0.010501,           0.0016074,              0.8141,             0.89438,             0.85211,             0.35635,            0.048559,           0.0067681,           0.0023842,           0.0073373,           0.0073373,           0.0073373
                  81,            0.049285,            0.010973,           0.0019288,             0.76129,             0.83624,             0.79451,             0.39508,            0.051949,           0.0071023,           0.0011614,           0.0073073,           0.0073073,           0.0073073
                  82,            0.046098,            0.010209,           0.0012119,             0.83578,             0.83654,             0.78115,             0.34556,            0.050547,           0.0066947,           0.0021427,            0.007277,            0.007277,            0.007277
                  83,            0.046967,            0.010302,           0.0011341,             0.68516,             0.82692,             0.75245,               0.353,             0.04813,           0.0066265,           0.0095634,           0.0072464,           0.0072464,           0.0072464
                  84,            0.045731,           0.0097259,           0.0016043,             0.79686,             0.83654,             0.74492,              0.3183,            0.052963,           0.0069319,          0.00039096,           0.0072155,           0.0072155,           0.0072155
                  85,            0.047878,            0.010121,           0.0017632,              0.8679,             0.81723,              0.9029,             0.37074,              0.0475,           0.0072686,          0.00091059,           0.0071844,           0.0071844,           0.0071844
                  86,            0.048231,            0.010653,           0.0013664,             0.90888,             0.77263,             0.91389,             0.35617,            0.046338,           0.0066274,            0.020332,           0.0071529,           0.0071529,           0.0071529
                  87,            0.045391,            0.010483,           0.0016358,             0.84516,             0.88942,             0.85015,             0.35874,            0.046745,           0.0064025,          0.00041074,           0.0071213,           0.0071213,           0.0071213
                  88,            0.048198,            0.010329,           0.0011956,             0.91017,             0.89904,             0.91735,             0.33165,            0.044578,           0.0064775,           0.0007371,           0.0070893,           0.0070893,           0.0070893
                  89,            0.046386,            0.010271,           0.0010067,             0.77922,              0.8365,             0.81142,             0.39138,            0.047891,           0.0069832,           0.0034346,           0.0070571,           0.0070571,           0.0070571
