               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.043212,           0.0095621,           0.0063121,                   0,                   0,                   0,                   0,              0.1024,            0.038963,            0.015811,            0.003558,            0.003558,            0.066058
                  47,            0.043429,             0.00922,           0.0056698,                   0,                   0,                   0,                   0,            0.099089,            0.041197,            0.013584,           0.0036254,           0.0036254,            0.065325
                  48,            0.044046,           0.0092584,           0.0057012,             0.13285,            0.038279,            0.018887,           0.0061762,            0.085388,             0.01135,           0.0093147,           0.0036924,           0.0036924,            0.064592
                  49,            0.043401,            0.009318,           0.0050978,             0.43055,             0.14902,             0.18037,            0.075202,            0.053441,            0.015248,            0.015208,           0.0037588,           0.0037588,            0.063859
                  50,            0.044018,             0.00921,           0.0052076,             0.54535,              0.6063,             0.44017,             0.16797,            0.040459,           0.0078827,            0.046111,           0.0038246,           0.0038246,            0.063125
                  51,            0.044416,           0.0088254,           0.0053372,             0.34992,             0.32692,              0.3657,             0.12259,             0.03524,            0.014989,            0.019402,           0.0038899,           0.0038899,             0.06239
                  52,            0.043333,           0.0094516,           0.0049459,             0.35927,             0.50608,             0.26279,            0.075367,            0.043429,           0.0076669,            0.049564,           0.0039547,           0.0039547,            0.061655
                  53,            0.044173,           0.0090018,            0.004905,             0.22429,             0.48279,             0.20461,             0.07417,            0.054593,           0.0085309,            0.057863,           0.0040189,           0.0040189,            0.060919
                  54,            0.043748,           0.0086955,           0.0050146,             0.50378,             0.70673,             0.43562,             0.17134,            0.038216,           0.0068559,             0.05279,           0.0040825,           0.0040825,            0.060182
                  55,            0.043231,            0.008978,           0.0042905,             0.36877,             0.52953,             0.26664,            0.072881,            0.036505,           0.0066424,             0.06549,           0.0041455,           0.0041455,            0.059445
                  56,            0.044239,           0.0089379,           0.0043078,             0.44786,              0.6672,             0.41953,             0.13689,            0.038332,           0.0065014,            0.045461,           0.0042079,           0.0042079,            0.058708
                  57,            0.045252,           0.0095068,           0.0040788,             0.50161,             0.65911,              0.4517,             0.16221,            0.035726,           0.0058857,            0.038784,           0.0042697,           0.0042697,             0.05797
                  58,            0.043216,           0.0089811,           0.0062703,             0.35541,              0.6666,             0.33861,            0.091982,            0.049294,           0.0059804,            0.036713,           0.0043309,           0.0043309,            0.057231
                  59,            0.042804,           0.0087068,           0.0056579,             0.34588,             0.75877,             0.37678,             0.13296,            0.047624,           0.0065018,            0.053947,           0.0043915,           0.0043915,            0.056492
                  60,            0.042345,           0.0091036,           0.0047206,             0.36205,              0.4352,             0.29772,            0.083511,            0.051052,           0.0065322,            0.011332,           0.0044515,           0.0044515,            0.055751
                  61,            0.039834,           0.0087463,           0.0045862,             0.46243,             0.54882,              0.3754,             0.14124,            0.039771,           0.0096335,            0.029285,           0.0045108,           0.0045108,            0.055011
                  62,            0.043428,           0.0092198,            0.007096,             0.24283,             0.60096,              0.2219,            0.091785,            0.036869,            0.013049,             0.07977,           0.0045694,           0.0045694,            0.054269
                  63,            0.043088,           0.0091219,           0.0059492,             0.11699,             0.63912,             0.16406,            0.058588,            0.043692,            0.032418,            0.088352,           0.0046275,           0.0046275,            0.053527
                  64,            0.041814,           0.0095636,            0.004458,             0.57855,             0.47453,             0.21743,            0.087531,            0.037785,            0.013588,            0.088021,           0.0046848,           0.0046848,            0.052785
                  65,            0.040241,           0.0086159,           0.0055562,             0.32155,             0.52083,             0.28281,              0.1244,            0.036564,           0.0084927,            0.060494,           0.0047415,           0.0047415,            0.052042
                  66,            0.041623,           0.0088943,           0.0062615,             0.47821,             0.56387,             0.35242,             0.13146,             0.03916,           0.0062242,            0.062365,           0.0047975,           0.0047975,            0.051298
                  67,            0.042337,           0.0086652,           0.0068158,             0.12976,             0.26854,             0.12241,            0.037453,            0.041558,            0.015789,            0.033481,           0.0048528,           0.0048528,            0.050553
                  68,            0.042769,           0.0087831,           0.0059569,            0.050914,            0.033654,            0.010206,            0.003359,            0.099746,            0.026133,            0.096904,           0.0049075,           0.0049075,            0.049807
                  69,            0.043305,           0.0092156,           0.0053575,             0.10098,             0.28297,            0.084854,            0.026104,            0.054776,            0.026576,            0.056135,           0.0049614,           0.0049614,            0.049061
                  70,            0.041054,           0.0088611,           0.0047934,             0.44886,             0.29247,             0.29821,              0.1123,            0.044315,           0.0076667,            0.021803,           0.0050146,           0.0050146,            0.048315
                  71,            0.039034,           0.0088789,           0.0048533,             0.45074,              0.7223,              0.5237,             0.20272,            0.051517,            0.005843,            0.023609,           0.0050672,           0.0050672,            0.047567
                  72,            0.040518,           0.0090852,           0.0051325,             0.19955,             0.39766,             0.21359,            0.063733,            0.053981,           0.0068597,            0.017177,           0.0051189,           0.0051189,            0.046819
                  73,            0.042375,            0.008932,            0.004874,             0.28132,             0.36355,             0.24685,            0.080652,            0.050622,           0.0059229,            0.020642,             0.00517,             0.00517,             0.04607
                  74,            0.041643,           0.0093258,           0.0057833,             0.41572,             0.39103,             0.23477,             0.08037,            0.046151,           0.0086232,            0.065255,           0.0052204,           0.0052204,             0.04532
                  75,            0.042037,           0.0091823,           0.0044621,             0.42896,              0.3675,              0.2214,            0.085071,            0.059057,            0.012417,            0.081248,             0.00527,             0.00527,             0.04457
                  76,            0.039954,           0.0089161,           0.0039385,             0.24344,             0.72596,             0.35308,             0.11072,            0.041822,           0.0069245,            0.089596,           0.0053188,           0.0053188,            0.043819
                  77,             0.03866,            0.008793,           0.0046385,             0.34756,             0.64423,             0.32701,             0.12707,            0.037471,           0.0069705,             0.06908,           0.0053669,           0.0053669,            0.043067
                  78,            0.040692,           0.0085297,           0.0043225,             0.37204,             0.61561,             0.31162,             0.10867,            0.035307,           0.0063439,            0.056895,           0.0054143,           0.0054143,            0.042314
                  79,            0.040273,           0.0088006,           0.0055334,            0.081629,            0.057692,            0.033634,           0.0099251,            0.071287,            0.012076,            0.017388,           0.0054609,           0.0054609,            0.041561
                  80,            0.039304,           0.0082815,           0.0036166,             0.11951,             0.19689,            0.070149,            0.018846,            0.067594,            0.017874,            0.044452,           0.0055067,           0.0055067,            0.040807
                  81,            0.039841,           0.0087893,            0.003715,             0.16071,             0.27787,             0.10539,             0.02652,            0.052995,            0.011576,            0.019361,           0.0055517,           0.0055517,            0.040052
                  82,            0.038478,           0.0089613,           0.0049224,             0.53182,             0.38587,             0.30822,            0.087774,            0.052303,            0.011974,            0.018213,            0.005596,            0.005596,            0.039296
                  83,            0.040568,           0.0087002,           0.0050345,             0.58656,             0.68751,             0.43579,             0.18399,            0.037841,           0.0089409,             0.05142,           0.0056395,           0.0056395,            0.038539
                  84,            0.041585,           0.0088226,           0.0051526,             0.73174,             0.69234,             0.69021,             0.31877,            0.036147,           0.0062135,            0.016495,           0.0056821,           0.0056821,            0.037782
                  85,            0.042747,           0.0091041,           0.0039141,             0.66499,             0.62957,             0.58632,             0.26909,            0.042953,           0.0062521,            0.021967,            0.005724,            0.005724,            0.037024
                  86,             0.04063,           0.0086572,           0.0037318,             0.41704,             0.52515,             0.30505,            0.098739,            0.051842,           0.0060409,            0.019104,           0.0057651,           0.0057651,            0.036265
                  87,            0.038071,           0.0088148,           0.0036795,             0.35245,             0.41621,             0.26904,            0.057872,            0.049971,           0.0064649,            0.018986,           0.0058054,           0.0058054,            0.035505
                  88,            0.040439,           0.0086456,           0.0039816,             0.10775,               0.144,            0.049586,            0.011612,            0.059003,           0.0071818,            0.018589,           0.0058449,           0.0058449,            0.034745
                  89,            0.040346,           0.0085922,           0.0038906,            0.089836,              0.1748,            0.073172,            0.017035,            0.059435,           0.0094273,           0.0075497,           0.0058836,           0.0058836,            0.033984
                  90,            0.041378,           0.0085191,           0.0037619,              0.6356,             0.16827,             0.11674,             0.03219,            0.054433,            0.006723,            0.008895,           0.0059214,           0.0059214,            0.033221
                  91,            0.040342,           0.0084279,           0.0038193,             0.33423,             0.37729,             0.21445,            0.063696,            0.044472,           0.0056472,            0.046783,           0.0059585,           0.0059585,            0.032458
                  92,            0.039015,           0.0089079,           0.0039856,             0.65616,             0.17308,             0.14859,            0.036372,            0.050388,             0.00698,            0.010917,           0.0059947,           0.0059947,            0.031695
                  93,            0.040457,            0.008792,           0.0043025,             0.13681,             0.51531,             0.11004,            0.024439,             0.06198,           0.0067704,            0.018361,           0.0060301,           0.0060301,             0.03093
                  94,             0.03967,           0.0085109,           0.0038499,             0.59996,            0.072084,             0.04556,           0.0096003,            0.060889,           0.0067431,            0.010037,           0.0060646,           0.0060646,            0.030165
                  95,            0.037789,           0.0083837,            0.004143,             0.65764,             0.16827,             0.10976,            0.030617,             0.05495,           0.0064665,            0.023028,           0.0060983,           0.0060983,            0.029398
                  96,            0.038445,           0.0085666,           0.0037919,             0.28935,             0.43086,              0.2864,            0.082258,            0.044565,           0.0066565,            0.043668,           0.0061312,           0.0061312,            0.028631
                  97,            0.038575,           0.0086488,           0.0046824,             0.34988,             0.16807,             0.17524,            0.077527,            0.062688,            0.024068,            0.010129,           0.0061632,           0.0061632,            0.027863
                  98,            0.040189,           0.0086121,           0.0040227,          0.00024949,           0.0096154,          9.8918e-05,          4.4274e-05,            0.095887,            0.053639,           0.0094117,           0.0061944,           0.0061944,            0.027094
                  99,            0.040543,           0.0082212,           0.0038181,             0.58454,            0.052618,            0.045803,            0.019418,            0.077587,            0.013354,            0.033964,           0.0062248,           0.0062248,            0.026325
                 100,            0.039195,             0.00845,           0.0033702,             0.27978,             0.55311,             0.16133,            0.059065,            0.061354,           0.0093331,             0.10602,           0.0062542,           0.0062542,            0.025554
                 101,            0.039149,           0.0086035,           0.0028341,             0.75779,             0.42062,             0.40727,             0.19028,             0.03877,           0.0064421,             0.07576,           0.0062829,           0.0062829,            0.024783
